date,Tic,open,high ,low,close,volume 
9/9/2008,Fameli,15.54,15.95,15.54,15.95,358688
9/10/2008,Fameli,15.48,15.73,15.48,15.48,3188149
9/13/2008,Fameli,15.01,15.45,15.01,15.01,4709496
9/14/2008,Fameli,14.68,15.46,14.57,15.01,448602
9/15/2008,Fameli,15.46,15.46,15.12,15.12,529173
9/16/2008,Fameli,15.56,15.57,15,15.22,763102
9/17/2008,Fameli,15.22,15.63,14.95,15.28,2137291
9/20/2008,Fameli,15.51,15.73,15,15.57,1789046
9/21/2008,Fameli,15.57,15.95,15.29,15.81,6157078
9/23/2008,Fameli,15.93,16.05,15.53,15.83,1261798
9/24/2008,Fameli,15.57,16.13,15.57,15.83,503928
9/27/2008,Fameli,15.83,16.11,15.63,15.95,1232438
9/28/2008,Fameli,15.73,15.9,15.47,15.9,983021
9/29/2008,Fameli,16.2,16.25,15.63,15.91,320378
9/30/2008,Fameli,15.43,15.77,15.43,15.77,668091
10/4/2008,Fameli,15.3,15.76,15.3,15.76,52554
10/5/2008,Fameli,15.29,15.76,15.29,15.76,25354
10/6/2008,Fameli,15.28,15.76,15.28,15.76,3725
10/7/2008,Fameli,15.28,15.76,15.28,15.76,4437
10/8/2008,Fameli,15.28,15.76,15.28,15.76,310
10/11/2008,Fameli,15.28,15.76,15.28,15.76,1637
10/12/2008,Fameli,15.28,15.75,15.28,15.75,15010
10/13/2008,Fameli,15.28,15.59,15.28,15.59,815265
10/14/2008,Fameli,15.12,15.58,15.12,15.58,14110
10/15/2008,Fameli,15.12,15.58,15.12,15.58,6619
10/18/2008,Fameli,15.12,15.12,15.12,15.12,230326
10/19/2008,Fameli,14.66,14.66,14.66,14.66,1275
10/20/2008,Fameli,14.23,14.23,14.23,14.23,20069
10/21/2008,Fameli,13.8,13.8,13.8,13.8,110719
10/22/2008,Fameli,13.39,13.78,13.39,13.78,117522
10/26/2008,Fameli,13.37,13.53,13.37,13.53,1420380
